symbol_id,currency,country,description
108,USD,USA,"Axonics Modulation Technologies, Inc. - Common Stock"
109,USD,USA,Blackrock Enhanced Equity Dividend Trust
110,USD,USA,"Tesla, Inc.  - Common Stock"
111,USD,USA,"SolarEdge Technologies, Inc. - Common Stock"
112,USD,USA,BlackRock Municipal Income Trust
113,USD,USA,"Civista Bancshares, Inc.  - Common Stock"
114,USD,USA,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates, Series 2006-3"
115,USD,USA,"PPG Industries, Inc. Common Stock"
116,USD,USA,AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest
117,USD,USA,Tsakos Energy Navigation Ltd Common Shares
118,USD,USA,"E-TRACS Linked to the Bloomberg Commodity Index Total Return due October 31, 2039"
119,USD,USA,Methanex Corporation - Common Stock
120,USD,USA,Happiness Biotech Group Limited - Ordinary Shares
